REFERENCE_ID,OPERATOR_NAME,OPERATOR_PHONE,EMAIL,WEBSITE,ADDRESS,REGIONS,OPERATING_AREA,OPERATOR_TYPE,LOCATION_NAME,TSN,LATITUDE,LONGITUDE,EFA_ID,FACILITIES,ACCESSIBILITY,TRANSPORT_MODE,MORNING_PEAK,AFTERNOON_PEAK,SHORT_PLATFORM,PEAK_OPERATIONS_COUNT,REGION_OPERATOR_COUNT,TYPE_OPERATOR_COUNT
900568,Kigali City Taxis,250725650282,info@rwandatransport.rw,www.rwandatransport.rw,"KN 5 Rd, Nyabugogo",Kicukiro,Kicukiro,Taxi,Muhima,20009,-1.919908,30.08106,10102002,Public Wi-Fi | Charging stations | Restrooms,This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Bus,No,Yes,False,1,6,14
900759,Volcano Taxi Ltd.,250786059898,info@rwandatransport.rw,www.rwandatransport.rw,"KG 4 Ave, Rusororo",Gasabo,Gatsata,"Hire car, Taxi",Nyarugunga,20045,-1.96283,30.065178,10102002,Sheltered waiting area | Security presence,This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Moto,Yes,No,False,1,16,1
900788,Remera Quick Rides,250706782908,info@rwandatransport.rw,www.rwandatransport.rw,"KG 4 Ave, Rusororo",Gasabo,Ndera,Taxi,Jali,20009,-1.912574,30.097264,10102002,Public Wi-Fi | Charging stations | Restrooms,This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Bus,No,Yes,False,1,16,14
900797,Kimironko Transport Co.,250777364751,torontohirecars@bigpond.com,www.rwandatransport.rw,"KG 21 St, Kimironko",Gasabo,Gisozi,Hire car,Nyakabanda,20009,-1.916076,30.10105,10102002,Sheltered waiting area | Security presence,This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Mini Bus,No,Yes,True,1,16,13
900808,Kimironko Transport Co.,250784658633,bookings@tuggerahlakeslimousines.com.au,www.rwandatransport.rw,"KN 3 Rd, Kigali",Gasabo,Kimironko,Hire car,Gikondo,20001,-1.958654,30.107714,10102002,Bike racks | Help point | Timetable display,This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Mini Bus,Yes,Yes,False,2,16,13
900816,Akagera Bus Lines,250789774169,info@rwandatransport.rw,www.rwandatransport.rw,"KG 9 Ave, Kacyiru",Nyarugenge,Rwezamenyo,Taxi,Nyamirambo,20009,-1.923627,30.049075,10102002,Bike racks | Help point | Timetable display,This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Taxi,No,No,False,0,8,14
900822,Akagera Bus Lines,250705624887,info@rwandatransport.rw,www.rwandatransport.rw,"KG 11 Ave, Remera",Kicukiro,Kanombe,Taxi,Kimisagara,20009,-1.95649,30.085601,10102002,Bike racks | Help point | Timetable display,This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Bus,No,Yes,True,1,6,14
900836,Kigali City Taxis,250749226581,info@rwandatransport.rw,www.rwandatransport.rw,"KN 2 Ave, Nyarugenge",Gasabo,Jabana,Taxi,Jali,20009,-1.935826,30.089733,10102002,CCTV | Digital info board | First Aid Kit,This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Moto,Yes,Yes,True,2,16,14
900859,Kigali City Taxis,250783844020,christy.white@wellington.nsw.gov.au,www.wellington-nsw.com/Wellington_Community.html,"KN 1 Rd, Downtown",Nyarugenge,Mageragere,Community transport,Niboye,20023,-1.948682,30.072385,10101810,Sheltered waiting area | Security presence,This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Stairs,Mini Bus,No,No,False,0,8,1
900860,Nyabugogo Express,250774734623,info@rwandatransport.rw,www.rwandatransport.rw,"KN 5 Rd, Nyabugogo",Kicukiro,Kagarama,Taxi,Kimihurura,20009,-1.903221,30.095352,10102002,Sheltered waiting area | Security presence,This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,E-Bike,No,No,True,0,6,14
900869,Volcano Taxi Ltd.,250745650570,info@rwandatransport.rw,www.rwandatransport.rw,"KN 5 Rd, Nyabugogo",Kicukiro,Niboye,Hire car,Gikomero,20234,-1.954787,30.05,10102002,Bike racks | Help point | Timetable display,This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,E-Bike,No,No,False,0,6,13
900165,Kimironko Transport Co.,250763131852,info@centralcoastlimousines.com.au,www.centralcoastlimousines.com.au,"KG 11 Ave, Remera",Nyarugenge,Nyamirambo,Hire car,Nduba,20009,-1.914806,30.063242,10102002,Wheelchair access | Restroom | Public phone,This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Bicycle,No,No,False,0,8,13
900181,Green Moto Kigali,250741583857,hirercars4u@gmail.com,www.hirecars4u.com.au,"KG 9 Ave, Kacyiru",Gasabo,Remera,Hire car,Bumbogo,20009,-1.929193,30.047674,10102002,Wheelchair access | Restroom | Public phone,This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Bus,Yes,Yes,False,2,16,13
900188,Volcano Taxi Ltd.,250742047250,info@rwandatransport.rw,www.rwandatransport.rw,"KN 2 Ave, Nyarugenge",Gasabo,Kimironko,Taxi,Kimironko,20009,-1.943183,30.114894,10102002,Public Wi-Fi | Charging stations | Help desk,This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Bus,Yes,No,False,1,16,14
900222,Remera Quick Rides,250704222610,info@rwandatransport.rw,www.rwandatransport.rw,"KK 15 Rd, Kanombe",Gasabo,Kacyiru,Hire car,Kinyinya,20009,-1.924918,30.051108,10102002,Bike racks | Emergency help point | Next service info,This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Bicycle,No,No,False,0,16,13
900261,Vision Transport,250757366172,info@rwandatransport.rw,www.rwandatransport.rw,"KK 19 Ave, Gisozi",Gasabo,Gisozi,Hire car,Kanyinya,20009,-1.942863,30.066621,10102002,Bike racks | Emergency help point | Next service info,This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Mini Bus,Yes,Yes,False,2,16,13
900433,Volcano Taxi Ltd.,250716149264,info@rwandatransport.rw,www.rwandatransport.rw,"KG 11 Ave, Remera",Gasabo,Kimironko,Taxi,Bumbogo,20009,-1.936896,30.075429,10102002,Public Wi-Fi | Charging stations | Help desk,This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Mini Bus,No,Yes,True,1,16,14
900808,Kimironko Transport Co.,250784658633,bookings@tuggerahlakeslimousines.com.au,www.rwandatransport.rw,"KN 3 Rd, Kigali",Gasabo,Remera,Hire car,Kicukiro,20009,-1.950633,30.081879,10102002,Public Wi-Fi | Charging stations | Help desk,This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Mini Bus,Yes,Yes,True,2,16,13
